edicao,pergunta_enunciado,dimensao_1,categoria_1,dimensao_2,categoria_2,respondentes,total_no_grupo,participacao_pct
2025-2026,R18,nivel,Júnior,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,88,518,16.9884
2025-2026,R18,nivel,Júnior,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,98,518,18.9189
2025-2026,R18,nivel,Júnior,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,47,518,9.0734
2025-2026,R18,nivel,Júnior,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,100,518,19.305
2025-2026,R18,nivel,Júnior,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,7,518,1.3514
2025-2026,R18,nivel,Júnior,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,1,518,0.1931
2025-2026,R18,nivel,Júnior,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,122,518,23.5521
2025-2026,R18,nivel,Júnior,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,38,518,7.3359
2025-2026,R18,nivel,Pleno,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,20,775,2.5806
2025-2026,R18,nivel,Pleno,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,63,775,8.129
2025-2026,R18,nivel,Pleno,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,49,775,6.3226
2025-2026,R18,nivel,Pleno,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,7,775,0.9032
2025-2026,R18,nivel,Pleno,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,194,775,25.0323
2025-2026,R18,nivel,Pleno,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,162,775,20.9032
2025-2026,R18,nivel,Pleno,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,5,775,0.6452
2025-2026,R18,nivel,Pleno,faixa_salarial,Acima de R$ 40.001/mês,2,775,0.2581
2025-2026,R18,nivel,Pleno,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,5,775,0.6452
2025-2026,R18,nivel,Pleno,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,253,775,32.6452
2025-2026,R18,nivel,Pleno,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,11,775,1.4194
2025-2026,R18,nivel,Pleno,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,4,775,0.5161
2025-2026,R18,nivel,Sênior,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,202,858,23.5431
2025-2026,R18,nivel,Sênior,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,34,858,3.9627
2025-2026,R18,nivel,Sênior,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,47,858,5.4779
2025-2026,R18,nivel,Sênior,faixa_salarial,Acima de R$ 40.001/mês,26,858,3.0303
2025-2026,R18,nivel,Sênior,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,3,858,0.3497
2025-2026,R18,nivel,Sênior,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,278,858,32.4009
2025-2026,R18,nivel,Sênior,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,24,858,2.7972
2025-2026,R18,nivel,Sênior,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,79,858,9.2075
2025-2026,R18,nivel,Sênior,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,11,858,1.2821
2025-2026,R18,nivel,Sênior,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,31,858,3.6131
2025-2026,R18,nivel,Sênior,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,117,858,13.6364
2025-2026,R18,nivel,Sênior,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,6,858,0.6993
2023-2024,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,39,304,12.8289
2023-2024,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,66,304,21.7105
2023-2024,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,9,304,2.9605
2023-2024,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,16,304,5.2632
2023-2024,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,5,304,1.6447
2023-2024,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,Acima de R$ 40.001/mês,1,304,0.3289
2023-2024,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,45,304,14.8026
2023-2024,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,38,304,12.5
2023-2024,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,26,304,8.5526
2023-2024,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,24,304,7.8947
2023-2024,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,16,304,5.2632
2023-2024,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,19,304,6.25
2023-2024,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,98,501,19.5609
2023-2024,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,41,501,8.1836
2023-2024,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,60,501,11.976
2023-2024,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,19,501,3.7924
2023-2024,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,5,501,0.998
2023-2024,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,1,501,0.1996
2023-2024,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,54,501,10.7784
2023-2024,R22,regiao_onde_mora,Nordeste,faixa_salarial,Acima de R$ 40.001/mês,4,501,0.7984
2023-2024,R22,regiao_onde_mora,Nordeste,faixa_salarial,Menos de R$ 1.000/mês,7,501,1.3972
2023-2024,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,11,501,2.1956
2023-2024,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,44,501,8.7824
2023-2024,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,63,501,12.5749
2023-2024,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,94,501,18.7625
2023-2024,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,12,69,17.3913
2023-2024,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,17,69,24.6377
2023-2024,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,5,69,7.2464
2023-2024,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,14,69,20.2899
2023-2024,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,4,69,5.7971
2023-2024,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,1,69,1.4493
2023-2024,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,3,69,4.3478
2023-2024,R22,regiao_onde_mora,Norte,faixa_salarial,Menos de R$ 1.000/mês,2,69,2.8986
2023-2024,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,7,69,10.1449
2023-2024,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,1,69,1.4493
2023-2024,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,2,69,2.8986
2023-2024,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,1,69,1.4493
2023-2024,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,423,2890,14.6367
2023-2024,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,636,2890,22.0069
2023-2024,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,189,2890,6.5398
2023-2024,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,129,2890,4.4637
2023-2024,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,60,2890,2.0761
2023-2024,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,164,2890,5.6747
2023-2024,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,85,2890,2.9412
2023-2024,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,414,2890,14.3253
2023-2024,R22,regiao_onde_mora,Sudeste,faixa_salarial,Menos de R$ 1.000/mês,12,2890,0.4152
2023-2024,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,222,2890,7.6817
2023-2024,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,120,2890,4.1522
2023-2024,R22,regiao_onde_mora,Sudeste,faixa_salarial,Acima de R$ 40.001/mês,46,2890,1.5917
2023-2024,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,390,2890,13.4948
2023-2024,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,80,886,9.0293
2023-2024,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,123,886,13.8826
2023-2024,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,8,886,0.9029
2023-2024,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,47,886,5.3047
2023-2024,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,52,886,5.8691
2023-2024,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,30,886,3.386
2023-2024,R22,regiao_onde_mora,Sul,faixa_salarial,Acima de R$ 40.001/mês,11,886,1.2415
2023-2024,R22,regiao_onde_mora,Sul,faixa_salarial,Menos de R$ 1.000/mês,6,886,0.6772
2023-2024,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,113,886,12.754
2023-2024,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,175,886,19.7517
2023-2024,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,31,886,3.4989
2023-2024,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,194,886,21.8962
2023-2024,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,16,886,1.8059
2024-2025,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,22,300,7.3333
2024-2025,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,23,300,7.6667
2024-2025,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,10,300,3.3333
2024-2025,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,49,300,16.3333
2024-2025,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,38,300,12.6667
2024-2025,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,14,300,4.6667
2024-2025,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,49,300,16.3333
2024-2025,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,Menos de R$ 1.000/mês,6,300,2.0
2024-2025,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,17,300,5.6667
2024-2025,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,17,300,5.6667
2024-2025,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,46,300,15.3333
2024-2025,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,9,300,3.0
2024-2025,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,59,447,13.1991
2024-2025,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,32,447,7.1588
2024-2025,R22,regiao_onde_mora,Nordeste,faixa_salarial,Acima de R$ 40.001/mês,8,447,1.7897
2024-2025,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,66,447,14.7651
2024-2025,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,35,447,7.83
2024-2025,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,88,447,19.6868
2024-2025,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,31,447,6.9351
2024-2025,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,7,447,1.566
2024-2025,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,8,447,1.7897
2024-2025,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,9,447,2.0134
2024-2025,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,68,447,15.2125
2024-2025,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,26,447,5.8166
2024-2025,R22,regiao_onde_mora,Nordeste,faixa_salarial,Menos de R$ 1.000/mês,10,447,2.2371
2024-2025,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,4,57,7.0175
2024-2025,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,6,57,10.5263
2024-2025,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,4,57,7.0175
2024-2025,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,5,57,8.7719
2024-2025,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,1,57,1.7544
2024-2025,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,1,57,1.7544
2024-2025,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,1,57,1.7544
2024-2025,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,7,57,12.2807
2024-2025,R22,regiao_onde_mora,Norte,faixa_salarial,Menos de R$ 1.000/mês,1,57,1.7544
2024-2025,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,6,57,10.5263
2024-2025,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,7,57,12.2807
2024-2025,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,14,57,24.5614
2024-2025,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,685,2939,23.3072
2024-2025,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,145,2939,4.9337
2024-2025,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,302,2939,10.2756
2024-2025,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,166,2939,5.6482
2024-2025,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,106,2939,3.6067
2024-2025,R22,regiao_onde_mora,Sudeste,faixa_salarial,Menos de R$ 1.000/mês,10,2939,0.3403
2024-2025,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,317,2939,10.786
2024-2025,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,373,2939,12.6914
2024-2025,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,458,2939,15.5835
2024-2025,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,111,2939,3.7768
2024-2025,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,119,2939,4.049
2024-2025,R22,regiao_onde_mora,Sudeste,faixa_salarial,Acima de R$ 40.001/mês,67,2939,2.2797
2024-2025,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,80,2939,2.722
2024-2025,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,73,988,7.3887
2024-2025,R22,regiao_onde_mora,Sul,faixa_salarial,Acima de R$ 40.001/mês,13,988,1.3158
2024-2025,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,146,988,14.7773
2024-2025,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,36,988,3.6437
2024-2025,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,19,988,1.9231
2024-2025,R22,regiao_onde_mora,Sul,faixa_salarial,Menos de R$ 1.000/mês,5,988,0.5061
2024-2025,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,150,988,15.1822
2024-2025,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,232,988,23.4818
2024-2025,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,15,988,1.5182
2024-2025,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,56,988,5.668
2024-2025,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,78,988,7.8947
2024-2025,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,150,988,15.1822
2024-2025,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,15,988,1.5182
2025-2026,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,8,221,3.6199
2025-2026,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,16,221,7.2398
2025-2026,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,5,221,2.2624
2025-2026,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,14,221,6.3348
2025-2026,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,10,221,4.5249
2025-2026,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,53,221,23.9819
2025-2026,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,19,221,8.5973
2025-2026,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,22,221,9.9548
2025-2026,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,30,221,13.5747
2025-2026,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,Menos de R$ 1.000/mês,2,221,0.905
2025-2026,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,Acima de R$ 40.001/mês,9,221,4.0724
2025-2026,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,25,221,11.3122
2025-2026,R22,regiao_onde_mora,Centro-oeste,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,8,221,3.6199
2025-2026,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,40,329,12.1581
2025-2026,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,52,329,15.8055
2025-2026,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,75,329,22.7964
2025-2026,R22,regiao_onde_mora,Nordeste,faixa_salarial,Acima de R$ 40.001/mês,7,329,2.1277
2025-2026,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,19,329,5.7751
2025-2026,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,14,329,4.2553
2025-2026,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,6,329,1.8237
2025-2026,R22,regiao_onde_mora,Nordeste,faixa_salarial,Menos de R$ 1.000/mês,3,329,0.9119
2025-2026,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,23,329,6.9909
2025-2026,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,22,329,6.6869
2025-2026,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,24,329,7.2948
2025-2026,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,43,329,13.0699
2025-2026,R22,regiao_onde_mora,Nordeste,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,1,329,0.304
2025-2026,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,4,36,11.1111
2025-2026,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,2,36,5.5556
2025-2026,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,5,36,13.8889
2025-2026,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,4,36,11.1111
2025-2026,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,5,36,13.8889
2025-2026,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,1,36,2.7778
2025-2026,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,1,36,2.7778
2025-2026,R22,regiao_onde_mora,Norte,faixa_salarial,Menos de R$ 1.000/mês,3,36,8.3333
2025-2026,R22,regiao_onde_mora,Norte,faixa_salarial,Acima de R$ 40.001/mês,2,36,5.5556
2025-2026,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,1,36,2.7778
2025-2026,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,2,36,5.5556
2025-2026,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,3,36,8.3333
2025-2026,R22,regiao_onde_mora,Norte,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,3,36,8.3333
2025-2026,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,209,2024,10.3261
2025-2026,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,299,2024,14.7727
2025-2026,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,217,2024,10.7213
2025-2026,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,146,2024,7.2134
2025-2026,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,79,2024,3.9032
2025-2026,R22,regiao_onde_mora,Sudeste,faixa_salarial,Menos de R$ 1.000/mês,8,2024,0.3953
2025-2026,R22,regiao_onde_mora,Sudeste,faixa_salarial,Acima de R$ 40.001/mês,63,2024,3.1126
2025-2026,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,221,2024,10.919
2025-2026,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,87,2024,4.2984
2025-2026,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,81,2024,4.002
2025-2026,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,455,2024,22.4802
2025-2026,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,96,2024,4.7431
2025-2026,R22,regiao_onde_mora,Sudeste,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,63,2024,3.1126
2025-2026,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,15,510,2.9412
2025-2026,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,84,510,16.4706
2025-2026,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,58,510,11.3725
2025-2026,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,45,510,8.8235
2025-2026,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,15,510,2.9412
2025-2026,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,74,510,14.5098
2025-2026,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,20,510,3.9216
2025-2026,R22,regiao_onde_mora,Sul,faixa_salarial,Menos de R$ 1.000/mês,2,510,0.3922
2025-2026,R22,regiao_onde_mora,Sul,faixa_salarial,Acima de R$ 40.001/mês,15,510,2.9412
2025-2026,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,108,510,21.1765
2025-2026,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,34,510,6.6667
2025-2026,R22,regiao_onde_mora,Sul,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,25,510,4.902
