edicao,pergunta_enunciado,dimensao_1,categoria_1,dimensao_2,categoria_2,respondentes,total_no_grupo,participacao_pct
2023-2024,R19,genero,Outro,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,1,7,14.2857
2023-2024,R19,genero,Prefiro não informar,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,2,13,15.3846
2023-2024,R19,genero,Prefiro não informar,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,4,13,30.7692
2023-2024,R19,genero,Prefiro não informar,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,2,13,15.3846
2023-2024,R19,genero,Prefiro não informar,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,2,13,15.3846
2023-2024,R19,genero,Prefiro não informar,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,1,13,7.6923
2023-2024,R19,genero,Prefiro não informar,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,1,13,7.6923
2023-2024,R19,genero,Prefiro não informar,faixa_salarial,Acima de R$ 40.001/mês,1,13,7.6923
2024-2025,R19,genero,Feminino,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,59,1141,5.1709
2024-2025,R19,genero,Feminino,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,57,1141,4.9956
2024-2025,R19,genero,Feminino,faixa_salarial,Acima de R$ 40.001/mês,8,1141,0.7011
2024-2025,R19,genero,Feminino,faixa_salarial,Menos de R$ 1.000/mês,6,1141,0.5259
2024-2025,R19,genero,Feminino,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,155,1141,13.5846
2024-2025,R19,genero,Feminino,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,64,1141,5.6091
2024-2025,R19,genero,Feminino,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,88,1141,7.7125
2024-2025,R19,genero,Feminino,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,20,1141,1.7528
2024-2025,R19,genero,Feminino,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,23,1141,2.0158
2024-2025,R19,genero,Feminino,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,152,1141,13.3216
2024-2025,R19,genero,Feminino,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,32,1141,2.8046
2024-2025,R19,genero,Feminino,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,294,1141,25.7669
2024-2025,R19,genero,Feminino,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,183,1141,16.0386
2024-2025,R19,genero,Masculino,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,780,3699,21.0868
2024-2025,R19,genero,Masculino,faixa_salarial,Menos de R$ 1.000/mês,27,3699,0.7299
2024-2025,R19,genero,Masculino,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,468,3699,12.6521
2024-2025,R19,genero,Masculino,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,139,3699,3.7578
2024-2025,R19,genero,Masculino,faixa_salarial,Acima de R$ 40.001/mês,92,3699,2.4872
2024-2025,R19,genero,Masculino,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,367,3699,9.9216
2024-2025,R19,genero,Masculino,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,179,3699,4.8391
2024-2025,R19,genero,Masculino,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,204,3699,5.515
2024-2025,R19,genero,Masculino,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,95,3699,2.5683
2024-2025,R19,genero,Masculino,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,437,3699,11.814
2024-2025,R19,genero,Masculino,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,214,3699,5.7853
2024-2025,R19,genero,Masculino,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,563,3699,15.2203
2024-2025,R19,genero,Masculino,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,134,3699,3.6226
2024-2025,R19,genero,Outro,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,2,6,33.3333
2024-2025,R19,genero,Outro,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,3,6,50.0
2024-2025,R19,genero,Outro,faixa_salarial,Acima de R$ 40.001/mês,1,6,16.6667
2024-2025,R19,genero,Prefiro não informar,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,1,15,6.6667
2024-2025,R19,genero,Prefiro não informar,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,1,15,6.6667
2024-2025,R19,genero,Prefiro não informar,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,1,15,6.6667
2024-2025,R19,genero,Prefiro não informar,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,4,15,26.6667
2024-2025,R19,genero,Prefiro não informar,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,2,15,13.3333
2024-2025,R19,genero,Prefiro não informar,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,1,15,6.6667
2024-2025,R19,genero,Prefiro não informar,faixa_salarial,Acima de R$ 40.001/mês,3,15,20.0
2024-2025,R19,genero,Prefiro não informar,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,2,15,13.3333
2025-2026,R19,genero,Feminino,faixa_salarial,Menos de R$ 1.000/mês,6,701,0.8559
2025-2026,R19,genero,Feminino,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,41,701,5.8488
2025-2026,R19,genero,Feminino,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,118,701,16.8331
2025-2026,R19,genero,Feminino,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,41,701,5.8488
2025-2026,R19,genero,Feminino,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,88,701,12.5535
2025-2026,R19,genero,Feminino,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,39,701,5.5635
2025-2026,R19,genero,Feminino,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,79,701,11.2696
2025-2026,R19,genero,Feminino,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,65,701,9.2725
2025-2026,R19,genero,Feminino,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,153,701,21.826
2025-2026,R19,genero,Feminino,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,14,701,1.9971
2025-2026,R19,genero,Feminino,faixa_salarial,Acima de R$ 40.001/mês,8,701,1.1412
2025-2026,R19,genero,Feminino,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,15,701,2.1398
2025-2026,R19,genero,Feminino,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,34,701,4.8502
2025-2026,R19,genero,Masculino,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,550,2510,21.9124
2025-2026,R19,genero,Masculino,faixa_salarial,Menos de R$ 1.000/mês,15,2510,0.5976
2025-2026,R19,genero,Masculino,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,278,2510,11.0757
2025-2026,R19,genero,Masculino,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,173,2510,6.8924
2025-2026,R19,genero,Masculino,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,97,2510,3.8645
2025-2026,R19,genero,Masculino,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,263,2510,10.4781
2025-2026,R19,genero,Masculino,faixa_salarial,Acima de R$ 40.001/mês,107,2510,4.2629
2025-2026,R19,genero,Masculino,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,81,2510,3.2271
2025-2026,R19,genero,Masculino,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,365,2510,14.5418
2025-2026,R19,genero,Masculino,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,88,2510,3.506
2025-2026,R19,genero,Masculino,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,114,2510,4.5418
2025-2026,R19,genero,Masculino,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,258,2510,10.2789
2025-2026,R19,genero,Masculino,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,121,2510,4.8207
2025-2026,R19,genero,Outro,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,2,7,28.5714
2025-2026,R19,genero,Outro,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,1,7,14.2857
2025-2026,R19,genero,Outro,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,1,7,14.2857
2025-2026,R19,genero,Outro,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,1,7,14.2857
2025-2026,R19,genero,Outro,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,1,7,14.2857
2025-2026,R19,genero,Outro,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,1,7,14.2857
2025-2026,R19,genero,Prefiro não informar,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,1,9,11.1111
2025-2026,R19,genero,Prefiro não informar,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,1,9,11.1111
2025-2026,R19,genero,Prefiro não informar,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,2,9,22.2222
2025-2026,R19,genero,Prefiro não informar,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,2,9,22.2222
2025-2026,R19,genero,Prefiro não informar,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,2,9,22.2222
2025-2026,R19,genero,Prefiro não informar,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,1,9,11.1111
2023-2024,R19,genero,Feminino,atua_como_gestor,Sim,168,1111,15.1215
2023-2024,R19,genero,Feminino,atua_como_gestor,Nao,943,1111,84.8785
2023-2024,R19,genero,Masculino,atua_como_gestor,Nao,2896,3622,79.9558
2023-2024,R19,genero,Masculino,atua_como_gestor,Sim,726,3622,20.0442
2023-2024,R19,genero,Outro,atua_como_gestor,Nao,7,7,100.0
2023-2024,R19,genero,Prefiro não informar,atua_como_gestor,Nao,11,13,84.6154
2023-2024,R19,genero,Prefiro não informar,atua_como_gestor,Sim,2,13,15.3846
2024-2025,R19,genero,Feminino,atua_como_gestor,Nao,942,1141,82.5592
2024-2025,R19,genero,Feminino,atua_como_gestor,Sim,199,1141,17.4408
2024-2025,R19,genero,Masculino,atua_como_gestor,Sim,842,3699,22.7629
2024-2025,R19,genero,Masculino,atua_como_gestor,Nao,2857,3699,77.2371
2024-2025,R19,genero,Outro,atua_como_gestor,Nao,5,6,83.3333
2024-2025,R19,genero,Outro,atua_como_gestor,Sim,1,6,16.6667
2024-2025,R19,genero,Prefiro não informar,atua_como_gestor,Nao,12,15,80.0
2024-2025,R19,genero,Prefiro não informar,atua_como_gestor,Sim,3,15,20.0
2025-2026,R19,genero,Feminino,atua_como_gestor,Sim,134,701,19.1155
2025-2026,R19,genero,Feminino,atua_como_gestor,Nao,567,701,80.8845
2025-2026,R19,genero,Masculino,atua_como_gestor,Sim,593,2510,23.6255
2025-2026,R19,genero,Masculino,atua_como_gestor,Nao,1917,2510,76.3745
2025-2026,R19,genero,Outro,atua_como_gestor,Nao,7,7,100.0
2025-2026,R19,genero,Prefiro não informar,atua_como_gestor,Nao,9,9,100.0
2023-2024,R18,nivel,Júnior,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,43,1046,4.1109
2023-2024,R18,nivel,Júnior,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,194,1046,18.5468
2023-2024,R18,nivel,Júnior,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,79,1046,7.5526
2023-2024,R18,nivel,Júnior,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,294,1046,28.1071
2023-2024,R18,nivel,Júnior,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,195,1046,18.6424
2023-2024,R18,nivel,Júnior,faixa_salarial,Menos de R$ 1.000/mês,22,1046,2.1033
2023-2024,R18,nivel,Júnior,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,211,1046,20.1721
2023-2024,R18,nivel,Júnior,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,5,1046,0.478
2023-2024,R18,nivel,Júnior,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,3,1046,0.2868
2023-2024,R18,nivel,Pleno,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,80,1392,5.7471
2023-2024,R18,nivel,Pleno,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,356,1392,25.5747
2023-2024,R18,nivel,Pleno,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,16,1392,1.1494
2023-2024,R18,nivel,Pleno,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,3,1392,0.2155
2023-2024,R18,nivel,Pleno,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,351,1392,25.2155
2023-2024,R18,nivel,Pleno,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,7,1392,0.5029
2023-2024,R18,nivel,Pleno,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,52,1392,3.7356
2023-2024,R18,nivel,Pleno,faixa_salarial,Acima de R$ 40.001/mês,2,1392,0.1437
2023-2024,R18,nivel,Pleno,faixa_salarial,Menos de R$ 1.000/mês,3,1392,0.2155
2023-2024,R18,nivel,Pleno,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,7,1392,0.5029
2023-2024,R18,nivel,Pleno,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,369,1392,26.5086
2023-2024,R18,nivel,Pleno,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,20,1392,1.4368
2023-2024,R18,nivel,Pleno,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,126,1392,9.0517
2023-2024,R18,nivel,Sênior,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,53,1419,3.735
2023-2024,R18,nivel,Sênior,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,1,1419,0.0705
2023-2024,R18,nivel,Sênior,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,506,1419,35.6589
2023-2024,R18,nivel,Sênior,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,10,1419,0.7047
2023-2024,R18,nivel,Sênior,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,33,1419,2.3256
2023-2024,R18,nivel,Sênior,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,73,1419,5.1445
2023-2024,R18,nivel,Sênior,faixa_salarial,Acima de R$ 40.001/mês,26,1419,1.8323
2023-2024,R18,nivel,Sênior,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,12,1419,0.8457
2023-2024,R18,nivel,Sênior,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,133,1419,9.3728
2023-2024,R18,nivel,Sênior,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,139,1419,9.7956
2023-2024,R18,nivel,Sênior,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,393,1419,27.6956
2023-2024,R18,nivel,Sênior,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,40,1419,2.8189
2024-2025,R18,nivel,Júnior,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,156,868,17.9724
2024-2025,R18,nivel,Júnior,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,88,868,10.1382
2024-2025,R18,nivel,Júnior,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,218,868,25.1152
2024-2025,R18,nivel,Júnior,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,40,868,4.6083
2024-2025,R18,nivel,Júnior,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,5,868,0.576
2024-2025,R18,nivel,Júnior,faixa_salarial,Acima de R$ 40.001/mês,1,868,0.1152
2024-2025,R18,nivel,Júnior,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,1,868,0.1152
2024-2025,R18,nivel,Júnior,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,188,868,21.659
2024-2025,R18,nivel,Júnior,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,2,868,0.2304
2024-2025,R18,nivel,Júnior,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,2,868,0.2304
2024-2025,R18,nivel,Júnior,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,140,868,16.129
2024-2025,R18,nivel,Júnior,faixa_salarial,Menos de R$ 1.000/mês,26,868,2.9954
2024-2025,R18,nivel,Júnior,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,1,868,0.1152
2024-2025,R18,nivel,Pleno,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,390,1376,28.343
2024-2025,R18,nivel,Pleno,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,80,1376,5.814
2024-2025,R18,nivel,Pleno,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,10,1376,0.7267
2024-2025,R18,nivel,Pleno,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,24,1376,1.7442
2024-2025,R18,nivel,Pleno,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,5,1376,0.3634
2024-2025,R18,nivel,Pleno,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,88,1376,6.3953
2024-2025,R18,nivel,Pleno,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,8,1376,0.5814
2024-2025,R18,nivel,Pleno,faixa_salarial,Menos de R$ 1.000/mês,3,1376,0.218
2024-2025,R18,nivel,Pleno,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,311,1376,22.6017
2024-2025,R18,nivel,Pleno,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,416,1376,30.2326
2024-2025,R18,nivel,Pleno,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,32,1376,2.3256
2024-2025,R18,nivel,Pleno,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,9,1376,0.6541
2024-2025,R18,nivel,Sênior,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,51,1572,3.2443
2024-2025,R18,nivel,Sênior,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,9,1572,0.5725
2024-2025,R18,nivel,Sênior,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,225,1572,14.313
2024-2025,R18,nivel,Sênior,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,452,1572,28.7532
2024-2025,R18,nivel,Sênior,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,505,1572,32.1247
2024-2025,R18,nivel,Sênior,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,121,1572,7.6972
2024-2025,R18,nivel,Sênior,faixa_salarial,Acima de R$ 40.001/mês,31,1572,1.972
2024-2025,R18,nivel,Sênior,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,7,1572,0.4453
2024-2025,R18,nivel,Sênior,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,37,1572,2.3537
2024-2025,R18,nivel,Sênior,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,82,1572,5.2163
2024-2025,R18,nivel,Sênior,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,51,1572,3.2443
2024-2025,R18,nivel,Sênior,faixa_salarial,Menos de R$ 1.000/mês,1,1572,0.0636
2025-2026,R18,nivel,Especialista/Staff+,faixa_salarial,Acima de R$ 40.001/mês,24,349,6.8768
2025-2026,R18,nivel,Especialista/Staff+,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,80,349,22.9226
2025-2026,R18,nivel,Especialista/Staff+,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,29,349,8.3095
2025-2026,R18,nivel,Especialista/Staff+,faixa_salarial,de R$ 25.001/mês a R$ 30.000/mês,23,349,6.5903
2025-2026,R18,nivel,Especialista/Staff+,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,8,349,2.2923
2025-2026,R18,nivel,Especialista/Staff+,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,45,349,12.894
2025-2026,R18,nivel,Especialista/Staff+,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,2,349,0.5731
2025-2026,R18,nivel,Especialista/Staff+,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,47,349,13.467
2025-2026,R18,nivel,Especialista/Staff+,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,91,349,26.0745
2025-2026,R18,nivel,Júnior,faixa_salarial,Menos de R$ 1.000/mês,17,518,3.2819
